...1,family,genus,species,binomial,1-1_ActivityCycle,abm_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,fuliginosa,Crocidura fuliginosa,-999,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,fulvastra,Crocidura fulvastra,-999,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,fumosa,Crocidura fumosa,-999,14.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,fuscomurina,Crocidura fuscomurina,2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,glassi,Crocidura glassi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,gmelini,Crocidura gmelini,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,goliath,Crocidura goliath,-999,87.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,gracilipes,Crocidura gracilipes,-999,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,grandiceps,Crocidura grandiceps,-999,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,grandis,Crocidura grandis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,grassei,Crocidura grassei,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,grayi,Crocidura grayi,-999,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,greenwoodi,Crocidura greenwoodi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,harenna,Crocidura harenna,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,hildegardeae,Crocidura hildegardeae,-999,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,hilliana,Crocidura hilliana,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,hirta,Crocidura hirta,2,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,hispida,Crocidura hispida,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,orii,Crocidura orii,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,palawanensis,Crocidura palawanensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,paradoxura,Crocidura paradoxura,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,parvipes,Crocidura parvipes,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,pasha,Crocidura pasha,-999,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,pergrisea,Crocidura pergrisea,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,phaeura,Crocidura phaeura,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,picea,Crocidura picea,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,pitmani,Crocidura pitmani,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,planiceps,Crocidura planiceps,-999,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,poensis,Crocidura poensis,-999,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,polia,Crocidura polia,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
